index,label,drift,s_5,s_10,s_20,s_50
0,NORMAL,1.420859,0.400000,0.200000,0.150000,0.220000
1,NORMAL,1.423109,0.000000,0.300000,0.150000,0.320000
2,NORMAL,1.388151,0.200000,0.100000,0.400000,0.280000
3,NORMAL,1.414286,0.000000,0.000000,0.050000,0.220000
4,NORMAL,1.393986,0.200000,0.300000,0.300000,0.320000
5,NORMAL,1.381703,0.000000,0.000000,0.050000,0.200000
6,NORMAL,1.424093,0.200000,0.100000,0.050000,0.200000
7,NORMAL,1.403379,0.200000,0.400000,0.450000,0.440000
8,NORMAL,1.420273,0.000000,0.000000,0.100000,0.120000
9,NORMAL,1.422530,0.000000,0.200000,0.150000,0.280000
10,NORMAL,1.359587,0.000000,0.000000,0.050000,0.160000
11,NORMAL,1.368935,0.000000,0.100000,0.150000,0.200000
12,NORMAL,1.401072,0.200000,0.100000,0.200000,0.240000
13,NORMAL,1.269970,0.000000,0.000000,0.000000,0.040000
14,NORMAL,1.411590,0.000000,0.100000,0.150000,0.360000
15,NORMAL,1.410553,0.200000,0.200000,0.200000,0.260000
16,NORMAL,1.327234,0.000000,0.200000,0.100000,0.160000
17,NORMAL,1.348202,0.000000,0.100000,0.100000,0.060000
18,NORMAL,1.191969,0.200000,0.100000,0.050000,0.040000
19,NORMAL,1.398755,0.000000,0.000000,0.000000,0.100000
20,NORMAL,1.403391,0.000000,0.100000,0.100000,0.160000
21,NORMAL,1.408271,0.200000,0.100000,0.050000,0.260000
22,NORMAL,1.394603,0.000000,0.300000,0.250000,0.280000
23,NORMAL,1.424776,0.200000,0.200000,0.250000,0.220000
24,NORMAL,1.410600,0.000000,0.000000,0.100000,0.160000
25,NORMAL,1.343900,0.200000,0.200000,0.200000,0.160000
26,NORMAL,1.434959,0.200000,0.200000,0.250000,0.300000
27,NORMAL,1.378328,0.000000,0.000000,0.000000,0.220000
28,NORMAL,1.407672,0.400000,0.200000,0.150000,0.240000
29,NORMAL,1.419558,0.400000,0.200000,0.100000,0.200000
30,NORMAL,1.375429,0.000000,0.100000,0.100000,0.120000
31,NORMAL,1.404039,0.000000,0.000000,0.100000,0.240000
32,NORMAL,1.402813,0.000000,0.100000,0.100000,0.260000
33,NORMAL,1.393780,0.200000,0.100000,0.150000,0.220000
34,NORMAL,1.409880,0.000000,0.000000,0.050000,0.200000
35,NORMAL,1.378790,0.200000,0.200000,0.150000,0.220000
36,NORMAL,1.423222,0.000000,0.000000,0.050000,0.120000
37,NORMAL,1.423828,0.000000,0.100000,0.050000,0.160000
38,NORMAL,1.417243,0.000000,0.300000,0.200000,0.300000
39,NORMAL,1.413254,0.000000,0.000000,0.050000,0.200000
40,NORMAL,1.378910,0.000000,0.000000,0.150000,0.160000
41,NORMAL,1.429663,0.200000,0.200000,0.100000,0.240000
42,NORMAL,1.410599,0.000000,0.000000,0.050000,0.160000
43,NORMAL,1.419032,0.000000,0.100000,0.100000,0.180000
44,NORMAL,1.409728,0.200000,0.200000,0.150000,0.160000
45,NORMAL,1.422101,0.000000,0.200000,0.200000,0.180000
46,NORMAL,1.393030,0.400000,0.200000,0.100000,0.160000
47,NORMAL,1.379897,0.200000,0.200000,0.100000,0.160000
48,NORMAL,1.423837,0.000000,0.100000,0.150000,0.320000
49,NORMAL,1.359230,0.000000,0.000000,0.050000,0.100000
50,NORMAL,1.429422,0.200000,0.200000,0.150000,0.120000
51,NORMAL,1.422376,0.000000,0.000000,0.100000,0.260000
52,NORMAL,1.405419,0.000000,0.100000,0.150000,0.300000
53,NORMAL,1.411227,0.000000,0.100000,0.100000,0.160000
54,NORMAL,1.414819,0.000000,0.100000,0.050000,0.220000
55,NORMAL,1.432483,0.200000,0.100000,0.250000,0.200000
56,NORMAL,1.425223,0.000000,0.100000,0.100000,0.200000
57,NORMAL,1.417728,0.000000,0.100000,0.150000,0.220000
58,NORMAL,1.414151,0.000000,0.000000,0.050000,0.180000
59,NORMAL,1.428056,0.200000,0.200000,0.100000,0.100000
60,NORMAL,1.406982,0.000000,0.000000,0.000000,0.160000
61,NORMAL,1.397562,0.200000,0.200000,0.150000,0.240000
62,NORMAL,1.388582,0.000000,0.100000,0.250000,0.320000
63,NORMAL,1.412223,0.000000,0.000000,0.050000,0.220000
64,NORMAL,1.375649,0.200000,0.100000,0.150000,0.160000
65,NORMAL,1.408237,0.000000,0.100000,0.050000,0.100000
66,NORMAL,1.405674,0.200000,0.200000,0.150000,0.120000
67,NORMAL,1.411005,0.000000,0.000000,0.150000,0.220000
68,NORMAL,1.373307,0.200000,0.300000,0.250000,0.240000
69,NORMAL,1.368274,0.200000,0.100000,0.200000,0.160000
70,NORMAL,1.376624,0.000000,0.000000,0.000000,0.040000
71,NORMAL,1.401392,0.000000,0.000000,0.000000,0.060000
72,NORMAL,1.423998,0.000000,0.100000,0.100000,0.200000
73,NORMAL,1.421608,0.000000,0.200000,0.150000,0.200000
74,NORMAL,1.377881,0.000000,0.100000,0.050000,0.300000
75,NORMAL,1.406956,0.600000,0.300000,0.200000,0.260000
76,NORMAL,1.371527,0.200000,0.100000,0.050000,0.100000
77,NORMAL,1.410583,0.000000,0.000000,0.000000,0.020000
78,NORMAL,1.394868,0.200000,0.200000,0.300000,0.200000
79,NORMAL,1.382645,0.000000,0.000000,0.050000,0.220000
80,NORMAL,1.395716,0.200000,0.200000,0.100000,0.220000
81,NORMAL,1.415722,0.000000,0.100000,0.200000,0.260000
82,NORMAL,1.414744,0.000000,0.000000,0.000000,0.220000
83,NORMAL,1.409514,0.000000,0.000000,0.050000,0.260000
84,NORMAL,1.421986,0.000000,0.000000,0.050000,0.200000
85,NORMAL,1.437277,0.000000,0.000000,0.050000,0.160000
86,NORMAL,1.407903,0.400000,0.200000,0.200000,0.200000
87,NORMAL,1.397857,0.000000,0.000000,0.000000,0.100000
88,NORMAL,1.407485,0.000000,0.100000,0.150000,0.140000
89,NORMAL,1.402063,0.000000,0.300000,0.250000,0.340000
90,NORMAL,1.367480,0.000000,0.000000,0.050000,0.180000
91,NORMAL,1.361693,0.000000,0.100000,0.050000,0.180000
92,NORMAL,1.283956,0.000000,0.000000,0.000000,0.060000
93,NORMAL,1.433953,0.000000,0.000000,0.000000,0.100000
94,NORMAL,1.421059,0.000000,0.000000,0.050000,0.200000
95,NORMAL,1.432640,0.000000,0.000000,0.150000,0.260000
96,NORMAL,1.371370,0.000000,0.000000,0.200000,0.320000
97,NORMAL,1.374476,0.000000,0.200000,0.100000,0.240000
98,NORMAL,1.383556,0.000000,0.000000,0.050000,0.160000
99,NORMAL,1.399374,0.000000,0.000000,0.000000,0.160000
100,NORMAL,1.432597,0.000000,0.100000,0.050000,0.200000
101,NORMAL,1.425040,0.200000,0.200000,0.200000,0.140000
102,NORMAL,1.402059,0.000000,0.100000,0.100000,0.100000
103,NORMAL,1.408991,0.000000,0.000000,0.000000,0.220000
104,NORMAL,1.437168,0.000000,0.000000,0.050000,0.200000
105,NORMAL,1.396023,0.200000,0.100000,0.200000,0.240000
106,NORMAL,1.443898,0.000000,0.200000,0.200000,0.240000
107,NORMAL,1.413501,0.000000,0.000000,0.000000,0.040000
108,NORMAL,1.413669,0.000000,0.000000,0.000000,0.080000
109,NORMAL,1.390465,0.000000,0.100000,0.200000,0.180000
110,NORMAL,1.366096,0.000000,0.100000,0.100000,0.060000
111,NORMAL,1.404898,0.200000,0.200000,0.200000,0.120000
112,NORMAL,1.390180,0.000000,0.100000,0.150000,0.220000
113,NORMAL,1.400367,0.400000,0.200000,0.150000,0.260000
114,NORMAL,1.417861,0.000000,0.100000,0.150000,0.180000
115,NORMAL,1.411800,0.200000,0.100000,0.100000,0.160000
116,NORMAL,1.437950,0.000000,0.000000,0.000000,0.200000
117,NORMAL,1.416944,0.000000,0.000000,0.050000,0.180000
118,NORMAL,1.400038,0.200000,0.100000,0.100000,0.280000
119,NORMAL,1.372287,0.200000,0.100000,0.150000,0.200000
120,NORMAL,1.400285,0.000000,0.000000,0.000000,0.120000
121,NORMAL,1.401279,0.000000,0.000000,0.050000,0.100000
122,NORMAL,1.379089,0.000000,0.000000,0.000000,0.100000
123,NORMAL,1.403677,0.200000,0.300000,0.250000,0.220000
124,NORMAL,1.413302,0.000000,0.000000,0.150000,0.100000
125,NORMAL,1.391128,0.000000,0.100000,0.050000,0.200000
126,NORMAL,1.407257,0.200000,0.200000,0.150000,0.220000
127,NORMAL,1.386105,0.000000,0.000000,0.100000,0.180000
128,NORMAL,1.372287,0.000000,0.000000,0.100000,0.060000
129,NORMAL,1.393338,0.200000,0.200000,0.250000,0.200000
130,NORMAL,1.379541,0.000000,0.100000,0.100000,0.140000
131,NORMAL,1.415536,0.000000,0.100000,0.250000,0.220000
132,NORMAL,1.411107,0.200000,0.200000,0.300000,0.280000
133,NORMAL,1.416130,0.200000,0.100000,0.100000,0.180000
134,NORMAL,1.382990,0.000000,0.000000,0.050000,0.120000
135,NORMAL,1.330080,0.000000,0.000000,0.100000,0.080000
136,NORMAL,1.406705,0.200000,0.100000,0.050000,0.120000
137,NORMAL,1.379737,0.000000,0.000000,0.150000,0.220000
138,NORMAL,1.421008,0.000000,0.100000,0.100000,0.160000
139,NORMAL,1.404753,0.000000,0.100000,0.100000,0.180000
140,NORMAL,1.422264,0.400000,0.200000,0.200000,0.260000
141,NORMAL,1.402716,0.000000,0.100000,0.150000,0.300000
142,NORMAL,1.410017,0.000000,0.000000,0.050000,0.100000
143,NORMAL,1.399881,0.000000,0.100000,0.150000,0.200000
144,NORMAL,1.394421,0.000000,0.000000,0.100000,0.240000
145,NORMAL,1.319198,0.000000,0.000000,0.050000,0.100000
146,NORMAL,1.424420,0.000000,0.000000,0.050000,0.060000
147,NORMAL,1.384819,0.000000,0.100000,0.200000,0.340000
148,NORMAL,1.428657,0.000000,0.100000,0.100000,0.160000
149,NORMAL,1.387530,0.200000,0.100000,0.050000,0.180000
150,NORMAL,1.374707,0.400000,0.200000,0.200000,0.280000
151,NORMAL,1.432764,0.000000,0.100000,0.150000,0.180000
152,NORMAL,1.394467,0.200000,0.100000,0.200000,0.320000
153,NORMAL,1.391408,0.000000,0.000000,0.100000,0.240000
154,NORMAL,1.418372,0.200000,0.200000,0.150000,0.220000
155,NORMAL,1.412033,0.000000,0.100000,0.100000,0.140000
156,NORMAL,1.405788,0.000000,0.000000,0.050000,0.060000
157,NORMAL,1.421293,0.000000,0.000000,0.050000,0.200000
158,NORMAL,1.414399,0.000000,0.200000,0.150000,0.200000
159,NORMAL,1.405632,0.000000,0.100000,0.300000,0.260000
160,NORMAL,1.390224,0.000000,0.000000,0.150000,0.180000
161,NORMAL,1.431526,0.000000,0.100000,0.150000,0.200000
162,NORMAL,1.403720,0.000000,0.000000,0.050000,0.180000
163,NORMAL,1.403145,0.200000,0.100000,0.200000,0.240000
164,NORMAL,1.381903,0.200000,0.100000,0.250000,0.200000
165,NORMAL,1.404470,0.200000,0.200000,0.200000,0.260000
166,NORMAL,1.439029,0.000000,0.100000,0.100000,0.160000
167,NORMAL,1.396952,0.000000,0.000000,0.050000,0.240000
168,NORMAL,1.438483,0.200000,0.100000,0.200000,0.220000
169,NORMAL,1.420896,0.200000,0.200000,0.150000,0.140000
170,NORMAL,1.403027,0.000000,0.000000,0.050000,0.220000
171,NORMAL,1.410866,0.200000,0.100000,0.050000,0.180000
172,NORMAL,1.416871,0.200000,0.300000,0.200000,0.200000
173,NORMAL,1.434314,0.000000,0.100000,0.150000,0.120000
174,NORMAL,1.380797,0.000000,0.000000,0.050000,0.140000
175,NORMAL,1.419251,0.000000,0.000000,0.000000,0.080000
176,NORMAL,1.392375,0.000000,0.000000,0.000000,0.220000
177,NORMAL,1.351508,0.200000,0.100000,0.200000,0.140000
178,NORMAL,1.334563,0.000000,0.100000,0.100000,0.140000
179,NORMAL,1.420691,0.000000,0.100000,0.050000,0.120000
180,NORMAL,1.402521,0.000000,0.000000,0.100000,0.180000
181,NORMAL,1.390816,0.400000,0.300000,0.250000,0.200000
182,NORMAL,1.400584,0.000000,0.000000,0.100000,0.200000
183,NORMAL,1.402951,0.000000,0.000000,0.100000,0.180000
184,NORMAL,1.345671,0.000000,0.000000,0.000000,0.180000
185,NORMAL,1.396261,0.000000,0.000000,0.200000,0.240000
186,NORMAL,1.386476,0.000000,0.000000,0.050000,0.200000
187,NORMAL,1.362840,0.000000,0.000000,0.050000,0.160000
188,NORMAL,1.398841,0.400000,0.400000,0.400000,0.320000
189,NORMAL,1.407083,0.000000,0.000000,0.000000,0.140000
190,NORMAL,1.408407,0.000000,0.000000,0.000000,0.140000
191,NORMAL,1.388757,0.200000,0.300000,0.250000,0.300000
192,NORMAL,1.419864,0.000000,0.100000,0.200000,0.240000
193,NORMAL,1.443803,0.200000,0.100000,0.150000,0.220000
194,NORMAL,1.357376,0.000000,0.000000,0.100000,0.080000
195,NORMAL,1.396632,0.400000,0.300000,0.200000,0.240000
196,NORMAL,1.389031,0.200000,0.200000,0.200000,0.180000
197,NORMAL,1.371630,0.000000,0.000000,0.000000,0.080000
198,NORMAL,1.385038,0.000000,0.100000,0.250000,0.360000
199,NORMAL,1.372802,0.000000,0.000000,0.050000,0.100000
200,NORMAL,1.181598,0.000000,0.000000,0.100000,0.080000
201,NORMAL,1.425832,0.000000,0.000000,0.000000,0.120000
202,NORMAL,1.378367,0.200000,0.100000,0.200000,0.180000
203,NORMAL,1.405059,0.000000,0.100000,0.100000,0.280000
204,NORMAL,1.039583,0.000000,0.000000,0.000000,0.000000
205,NORMAL,1.124362,0.000000,0.000000,0.050000,0.060000
206,NORMAL,1.302017,0.000000,0.100000,0.100000,0.080000
207,NORMAL,1.418429,0.000000,0.000000,0.050000,0.120000
208,NORMAL,1.328154,0.000000,0.000000,0.000000,0.080000
209,NORMAL,1.329240,0.000000,0.000000,0.100000,0.080000
210,NORMAL,1.434645,0.000000,0.000000,0.150000,0.180000
211,NORMAL,0.924264,0.000000,0.000000,0.000000,0.000000
212,NORMAL,1.378329,0.200000,0.100000,0.100000,0.300000
213,NORMAL,1.414760,0.200000,0.100000,0.350000,0.340000
214,NORMAL,1.354412,0.000000,0.000000,0.100000,0.120000
215,NORMAL,1.423648,0.200000,0.100000,0.100000,0.240000
216,NORMAL,1.392747,0.200000,0.100000,0.100000,0.140000
217,NORMAL,1.362079,0.000000,0.000000,0.000000,0.160000
218,NORMAL,1.379699,0.000000,0.000000,0.050000,0.100000
219,NORMAL,1.284758,0.200000,0.200000,0.150000,0.120000
220,NORMAL,1.426354,0.000000,0.100000,0.150000,0.300000
221,NORMAL,1.459852,0.000000,0.000000,0.150000,0.340000
222,NORMAL,1.316943,0.000000,0.000000,0.000000,0.040000
223,NORMAL,1.381911,0.000000,0.000000,0.000000,0.100000
224,NORMAL,1.377652,0.000000,0.000000,0.000000,0.220000
